,Video Name,Thumbnail URL,Video ID,length,date published
0,Messi's Argentina gets ready 🇦🇷,https://i.ytimg.com/vi/DfL43rsKHOs/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgRCh_MA8=&rs=AOn4CLCdqPMV4OiHA_Kj7GMARYfi9Dgngg,DfL43rsKHOs,"3 minutes, 6 seconds",2 hours ago
1,🇲🇦  Morocco the big surprise of the semi-finals,https://i.ytimg.com/vi/HN2rO10FBew/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgYChSMA8=&rs=AOn4CLDopXwtuIlItzY7DvGGlzCMmqLcXA,HN2rO10FBew,"3 minutes, 10 seconds",3 hours ago
2,🇭🇷 Croatia warms up engines,https://i.ytimg.com/vi/Vg5nZqoDYq0/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEMgQyhyMA8=&rs=AOn4CLDba3Nw-CvnQ01Pr_1CNKYwYqhdJw,Vg5nZqoDYq0,"3 minutes, 8 seconds",4 hours ago
3,France prepares for the Semi-Finals,https://i.ytimg.com/vi/S-w9dbo6zjc/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGBMgOih_MA8=&rs=AOn4CLBnv_0JayAEB6glvP3zk5rydDKxxw,S-w9dbo6zjc,"3 minutes, 3 seconds",5 hours ago
4,Milano Premier Padel FINAL | GALAN/LEBRON vs RUIZ/BERGAMINI | 12/11/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/X-dgNu0jqTA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA0i9nilOV7XrgUJuH4DBZSA_VNtQ,X-dgNu0jqTA,"8 minutes, 47 seconds",1 day ago
5,Milano Premier Padel SF2 | Galan/Lebron vs Belasteguin/Coello  | 12/10/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/sz4jcZzlNn8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBw_Kx-O-T-yG1QtRB7iAemKCwThg,sz4jcZzlNn8,"10 minutes, 32 seconds",2 days ago
6,Milano Premier Padel SF1 | Ruiz/Bergamini vs Navarro/Tello  | 12/10/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/FGVnVDgTuKM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBT0Xm-LBT2--tqw4tAjSqL5gM8mA,FGVnVDgTuKM,"12 minutes, 24 seconds",2 days ago
7,Diriyah Tennis Cup FInal | Fritz vs Medvedev | 12/10/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/rVb0IcE-RBU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCWVT1cUC0-INJcto1t5WFKUpM1Ew,rVb0IcE-RBU,"9 minutes, 36 seconds",2 days ago
8,Diriyah Tennis Cup SF2 | Norrie vs Fritz | 12/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/mayEaPcjtSg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAbABch5FnTNVXCDMHK9eeP0A_FJA,mayEaPcjtSg,"9 minutes, 20 seconds",3 days ago
9,Diriyah Tennis Cup SF1 | STAN WAWRINKA vs DANIL MEDVEDEV | 12/09/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/LwRhxDs9eB4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA_m1H9dUfzoZPRoldZfJzeJkrZbg,LwRhxDs9eB4,"10 minutes, 23 seconds",3 days ago
10,Fernando Fiore en el Maradona Fan Fest ⚽️🏆🇦🇷,https://i.ytimg.com/vi/-0pjVZZTNR0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBgdmb5MKMQlryheoXeoA5dfg3-RA,-0pjVZZTNR0,"6 minutes, 12 seconds",5 days ago
11,Mexico Premier Padel | FINAL | TAPIA/GUTIERREZ vs BELASTEGUIN/COELLO | 12/04/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/i2FXWJuIG0Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAmcfmo9H40zCjiccTomEvuJcHqBQ,i2FXWJuIG0Q,"12 minutes, 30 seconds",7 days ago
12,Mexico Premier Padel SF2 | BELASTEGUINI/COELLO vs DI NENNO/NIETO | 12/04/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/TQKybNR8EMI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBi_8RGHBbemm7mO5eX5-lV6lWxPw,TQKybNR8EMI,"12 minutes, 7 seconds",7 days ago
13,Mexico Premier Padel SF1 | TAPIA/GUTIERREZ vs CHINGOTTO/GARRIDO | 12/04/2022 | beIN SPORTS USA,https://i.ytimg.com/vi/6Vz2qijp2Nw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA-njksUd7yuuajeQ4cTlnVNdYsLw,6Vz2qijp2Nw,"9 minutes, 57 seconds",8 days ago
14,Tour of Zouk Market Qatar 🇶🇦,https://i.ytimg.com/vi/GbHgPIcEVDg/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLC4MTgt9QoiW0J1AFVep73RPeTBhg,GbHgPIcEVDg,"2 minutes, 39 seconds",11 days ago
15,Hinchas de México no quieren ni ver al Tata Martino,https://i.ytimg.com/vi/XeO2YYWmbYQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAitk1WH5Nx75UZzlmeRoJDUKrNwA,XeO2YYWmbYQ,"2 minutes, 30 seconds",11 days ago
16,Who's the best of the best: 🇦🇷 Messi or Maradona 🇦🇷?,https://i.ytimg.com/vi/kRhZh6U_D-0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAQFuAd1NvXTGfdQBfUxBtqpHHAcg,kRhZh6U_D-0,"1 minute, 33 seconds",11 days ago
